fecha,saldos,desembolsos,pagos_cap_e_int,transferencia_neta
1994-01,"1,221,099","16,378","23,628","-7,250"
1994-02,"1,236,698","14,474","20,707","-6,233"
1994-03,"1,231,527","5,686","24,374","-18,688"
1994-04,"1,230,260","7,348","10,670","-3,322"
1994-05,"1,223,278","5,195","10,445","-5,250"
1994-06,"1,264,756","30,724","15,408","15,316"
1994-07,"1,261,051","8,062","17,586","-9,524"
1994-08,"1,249,831","4,911","28,159","-23,248"
1994-09,"1,252,529","7,777","18,159","-10,382"
1994-10,"1,269,097","19,844","17,601","2,243"
1994-11,"1,249,761","2,382","10,445","-8,063"
1994-12,"1,240,262","15,083","25,012","-9,929"
1995-01,"1,320,836","8,804","14,873","-6,069"
1995-02,"1,345,459","16,473","21,128","-4,655"
1995-03,"1,399,552","18,896","20,739","-1,843"
1995-04,"1,436,814","10,845","16,732","-5,887"
1995-05,"1,443,783","12,134","10,814","1,320"
1995-06,"1,432,081","11,027","23,286","-12,259"
1995-07,"1,414,371","11,437","18,130","-6,693"
1995-08,"1,348,049","16,091","25,659","-9,568"
1995-09,"1,376,981","32,464","15,463","17,001"
1995-10,"1,384,002","17,649","11,439","6,210"
1995-11,"1,396,802","23,892","9,743","14,149"
1995-12,"1,406,789","21,820","17,990","3,830"
1996-01,"1,375,095","13,968","20,561","-6,593"
1996-02,"1,387,607","10,274","25,693","-15,419"
1996-03,"1,376,939","10,966","18,961","-7,995"
1996-04,"1,377,194","8,047","10,946","-2,899"
1996-05,"1,369,100","42,509","9,290","33,219"
1996-06,"1,360,540","8,558","13,184","-4,626"
1996-07,"1,386,762","14,346","16,663","-2,317"
1996-08,"1,389,255","20,965","25,521","-4,556"
1996-09,"1,384,251","20,231","13,644","6,587"
1996-10,"1,390,748","20,220","10,575","9,645"
1996-11,"1,392,322","12,364","9,142","3,222"
1996-12,"1,398,865","27,409","13,662","13,747"
1997-01,"1,357,241","7,054","24,894","-17,840"
1997-02,"1,352,756","10,361","17,965","-7,604"
1997-03,"1,344,130","9,358","12,563","-3,205"
1997-04,"1,331,216","9,977","13,396","-3,419"
1997-05,"1,404,370","38,410","7,182","31,228"
1997-06,"1,412,794","16,257","18,030","-1,773"
1997-07,"1,399,400","21,354","15,791","5,563"
1997-08,"1,403,075","13,837","17,027","-3,190"
1997-09,"1,412,872","14,394","13,114","1,280"
1997-10,"1,435,883","21,414","10,475","10,939"
1997-11,"1,419,999","16,498","10,017","6,481"
1997-12,"1,444,305","35,792","7,588","28,204"
1998-01,"1,458,532","21,181","19,029","2,152"
1998-02,"1,462,682","4,369","15,208","-10,839"
1998-03,"1,437,671","16,320","17,047",-727
1998-04,"1,443,383","9,461","12,507","-3,046"
1998-05,"1,431,442","12,228","12,626",-398
1998-06,"1,412,172","9,126","24,161","-15,035"
1998-07,"1,421,853","19,544","17,197","2,347"
1998-08,"1,438,504","17,537","11,111","6,426"
1998-09,"1,475,713","21,289","14,487","6,802"
1998-10,"1,551,284","15,742","8,688","7,054"
1998-11,"1,537,864","14,590","8,413","6,177"
1998-12,"1,599,381","28,272","9,597","18,675"
1999-01,"1,595,902","16,275","18,237","-1,962"
1999-02,"1,572,871","10,664","26,185","-15,521"
1999-03,"1,564,018","18,253","25,954","-7,701"
1999-04,"1,568,925","9,662","4,370","5,292"
1999-05,"1,554,788","9,255","9,328",-73
1999-06,"1,564,742","15,986","14,715","1,271"
1999-07,"1,988,656","412,750","19,656","393,094"
1999-08,"2,008,664","13,955","23,912","-9,957"
1999-09,"2,043,637","22,450","6,840","15,610"
1999-10,"2,070,490","14,637","6,532","8,105"
1999-11,"2,077,643","11,655","9,525","2,130"
1999-12,"2,111,467","34,051","9,066","24,985"
2000-01,"2,169,917","97,907","36,461","61,446"
2000-02,"2,159,882","6,680","15,957","-9,277"
2000-03,"2,165,905","12,483","17,565","-5,082"
2000-04,"2,169,459","22,477","10,217","12,260"
2000-05,"2,185,424","33,493","7,940","25,553"
2000-06,"2,207,836","14,154","10,027","4,127"
2000-07,"2,192,678","12,947","30,670","-17,723"
2000-08,"2,199,624","16,604","18,514","-1,910"
2000-09,"2,200,029","20,038","23,715","-3,677"
2000-10,"2,187,428","9,828","15,463","-5,635"
2000-11,"2,198,160","17,297","7,981","9,316"
2000-12,"2,234,322","24,382","5,589","18,793"
2001-01,"2,265,257","11,138","50,524","-39,386"
2001-02,"2,174,006","11,212","16,984","-5,772"
2001-03,"2,165,139","7,595","19,254","-11,659"
2001-04,"2,168,225","9,145","18,101","-8,956"
2001-05,"2,173,349","3,298","7,207","-3,909"
2001-06,"2,159,598","11,242","8,324","2,918"
2001-07,"2,160,556","6,836","30,578","-23,742"
2001-08,"2,183,622","7,466","21,572","-14,106"
2001-09,"2,188,483","13,241","18,304","-5,063"
2001-10,"2,196,443","10,483","14,835","-4,352"
2001-11,"2,179,258","11,249","12,496","-1,247"
2001-12,"2,162,407","41,223","11,998","29,225"
2002-01,"2,160,328","7,931","30,827","-22,896"
2002-02,"2,142,334","11,028","18,188","-7,160"
2002-03,"2,160,042","7,387","12,771","-5,384"
2002-04,"2,222,655","12,166","9,725","2,441"
2002-05,"2,217,913","7,289","18,744","-11,455"
2002-06,"2,220,206","10,990","16,521","-5,531"
2002-07,"2,220,413","8,206","19,014","-10,808"
2002-08,"2,214,722","5,282","20,325","-15,043"
2002-09,"2,210,602","15,633","9,036","6,597"
2002-10,"2,213,443","12,182","16,065","-3,883"
2002-11,"2,228,385","9,412","6,130","3,282"
2002-12,"2,283,051","33,826","12,460","21,366"
2003-01,"2,293,740","12,236","11,242",994
2003-02,"2,313,220","7,693","2,787","4,906"
2003-03,"2,274,823","10,429","50,499","-40,070"
2003-04,"2,274,312","11,078","22,186","-11,108"
2003-05,"2,299,288","7,066","13,542","-6,476"
2003-06,"2,282,881","8,947","13,976","-5,029"
2003-07,"2,290,928","17,941","19,439","-1,498"
2003-08,"2,295,042","19,544","14,561","4,983"
2003-09,"2,353,402","9,218","7,106","2,112"
2003-10,"2,374,470","13,063","10,688","2,375"
2003-11,"2,376,792","13,254","14,912","-1,658"
2003-12,"2,477,573","82,127","21,252","60,875"
2004-01,"2,446,335","5,082","49,047","-43,965"
2004-02,"2,404,903","6,535","39,543","-33,008"
2004-03,"2,407,705","5,736","24,558","-18,822"
2004-04,"2,367,362","8,106","30,512","-22,406"
2004-05,"2,373,863","12,325","13,879","-1,554"
2004-06,"2,354,493","16,218","44,209","-27,991"
2004-07,"2,340,047","5,051","23,297","-18,246"
